QSTESTCD,QSSTRESC,QSSTRESN,QSDRVFL
GAD01,Not at all,0,
GAD01,Several days,1,
GAD01,More than half the days,2,
GAD01,Nearly every day,3,
GAD02,Not at all,0,
GAD02,Several days,1,
GAD02,More than half the days,2,
GAD02,Nearly every day,3,
GAD2RAW,,,Y
EDANX01,Never,1,
EDANX01,Rarely,2,
EDANX01,Sometimes,3,
EDANX01,Often,4,
EDANX01,Always,5,
EDANX40,Never,1,
EDANX40,Rarely,2,
EDANX40,Sometimes,3,
EDANX40,Often,4,
EDANX40,Always,5,
EDANX41,Never,1,
EDANX41,Rarely,2,
EDANX41,Sometimes,3,
EDANX41,Often,4,
EDANX41,Always,5,
EDANX53,Never,1,
EDANX53,Rarely,2,
EDANX53,Sometimes,3,
EDANX53,Often,4,
EDANX53,Always,5,
PRANX4AR,,,Y
PRANX4AT,,,Y
EDDEP04,Never,1,
EDDEP04,Rarely,2,
EDDEP04,Sometimes,3,
EDDEP04,Often,4,
EDDEP04,Always,5,
EDDEP06,Never,1,
EDDEP06,Rarely,2,
EDDEP06,Sometimes,3,
EDDEP06,Often,4,
EDDEP06,Always,5,
EDDEP29,Never,1,
EDDEP29,Rarely,2,
EDDEP29,Sometimes,3,
EDDEP29,Often,4,
EDDEP29,Always,5,
EDDEP41,Never,1,
EDDEP41,Rarely,2,
EDDEP41,Sometimes,3,
EDDEP41,Often,4,
EDDEP41,Always,5,
PRDEP4AR,,,Y
PRDEP4AT,,,Y
PAININ9,Not at all,1,
PAININ9,A little bit,2,
PAININ9,Somewhat,3,
PAININ9,Quite a bit,4,
PAININ9,Very much,5,
PAININ22,Not at all,1,
PAININ22,A little bit,2,
PAININ22,Somewhat,3,
PAININ22,Quite a bit,4,
PAININ22,Very much,5,
PAININ31,Not at all,1,
PAININ31,A little bit,2,
PAININ31,Somewhat,3,
PAININ31,Quite a bit,4,
PAININ31,Very much,5,
PAININ34,Not at all,1,
PAININ34,A little bit,2,
PAININ34,Somewhat,3,
PAININ34,Quite a bit,4,
PAININ34,Very much,5,
PRPI4AR,,,Y
PRPI4AT,,,Y
PFA11,Unable to do,1,
PFA11,With much difficulty,2,
PFA11,With some difficulty,3,
PFA11,With a little difficulty,4,
PFA11,Without any difficulty,5,
PFA21,Unable to do,1,
PFA21,With much difficulty,2,
PFA21,With some difficulty,3,
PFA21,With a little difficulty,4,
PFA21,Without any difficulty,5,
PFA23,Unable to do,1,
PFA23,With much difficulty,2,
PFA23,With some difficulty,3,
PFA23,With a little difficulty,4,
PFA23,Without any difficulty,5,
PFA53,Unable to do,1,
PFA53,With much difficulty,2,
PFA53,With some difficulty,3,
PFA53,With a little difficulty,4,
PFA53,Without any difficulty,5,
PFC12,Cannot do,1,
PFC12,Quite a lot,2,
PFC12,Somewhat,3,
PFC12,Very little,4,
PFC12,Not at all,5,
PFB1,Cannot do,1,
PFB1,Quite a lot,2,
PFB1,Somewhat,3,
PFB1,Very little,4,
PFB1,Not at all,5,
PRPF6BR,,,Y
PRPF6BT,,,Y
SLEEP109,Very good,1,
SLEEP109,Good,2,
SLEEP109,Fair,3,
SLEEP109,Poor,4,
SLEEP109,Very poor,5,
SLEEP116,Very much,1,
SLEEP116,Quite a bit,2,
SLEEP116,Somewhat,3,
SLEEP116,A little bit,4,
SLEEP116,Not at all,5,
SLEEP20,Not at all,1,
SLEEP20,A little bit,2,
SLEEP20,Somewhat,3,
SLEEP20,Quite a bit,4,
SLEEP20,Very much,5,
SLEEP44,Not at all,1,
SLEEP44,A little bit,2,
SLEEP44,Somewhat,3,
SLEEP44,Quite a bit,4,
SLEEP44,Very much,5,
SLEEP108,Not at all,1,
SLEEP108,A little bit,2,
SLEEP108,Somewhat,3,
SLEEP108,Quite a bit,4,
SLEEP108,Very much,5,
SLEEP72,Not at all,1,
SLEEP72,A little bit,2,
SLEEP72,Somewhat,3,
SLEEP72,Quite a bit,4,
SLEEP72,Very much,5,
PRSD6AR,,,Y
PRSD6AT,,,Y
PCS4,Not at all,0,
PCS4,To a slight degree,1,
PCS4,To a moderate degree,2,
PCS4,To a great degree,3,
PCS4,All the time,4,
PCS5,Not at all,0,
PCS5,To a slight degree,1,
PCS5,To a moderate degree,2,
PCS5,To a great degree,3,
PCS5,All the time,4,
PCS6,Not at all,0,
PCS6,To a slight degree,1,
